Time,Event,Object,Involved,P1,P2,P3,P4
7504.106934,Trigger: OnContinue,/NN1,/car 1,toedge: 0.000000,fromedge: 1.000000,,
7504.106934,BeginTask: Load,/car 1,/Material Supermarket _Loading Point_/Product~24,involved2: /Material Supermarket _Loading Point_,output port: 5.000000,end speed: 0.000000,
7504.106934,Trigger: Load Time,/car 1,/Material Supermarket _Loading Point_/Product~24,station: /Material Supermarket _Loading Point_,,,
7507.911621,Trigger: OnArrival,/NN4,/car 2,toedge: 1.000000,fromedge: 2.000000,,
7507.911621,Trigger: OnContinue,/NN4,/car 2,toedge: 1.000000,fromedge: 2.000000,,
7519.411621,Trigger: OnArrival,/NN2,/car 2,toedge: 1.000000,fromedge: 3.000000,,
7519.411621,Trigger: OnContinue,/NN2,/car 2,toedge: 1.000000,fromedge: 3.000000,,
7537.911621,Trigger: OnArrival,/NN1,/car 2,toedge: 0.000000,fromedge: 1.000000,,
7537.911621,Trigger: OnContinue,/NN1,/car 2,toedge: 0.000000,fromedge: 1.000000,,
7537.911621,BeginTask: Load,/car 2,/Material Supermarket _Loading Point_/Product,involved2: /Material Supermarket _Loading Point_,output port: 8.000000,end speed: 0.000000,
7537.911621,Trigger: Load Time,/car 2,/Material Supermarket _Loading Point_/Product,station: /Material Supermarket _Loading Point_,,,
7538.071777,Engine: Send Object,/Material Supermarket _Loading Point_,/Material Supermarket _Loading Point_/Product~24,5.000000,,,
7538.071777,Trigger: OnExit,/Material Supermarket _Loading Point_,/Material Supermarket _Loading Point_/Product~24,port: 5.000000,,,
7538.071777,Engine: Receive Object,/car 1,/car 1/Product,1.000000,,,
7538.071777,Trigger: OnLoad,/car 1,/car 1/Product,station: /Material Supermarket _Loading Point_,,,
7538.071777,BeginTask: Break,/car 1,<no path>,involved2: <no path>,check content: 0.000000,check receive: 0.000000,msgparam(3): 0.000000
7538.071777,Trigger: Break to Requirement,/car 1,/car 1>variables/activetasksequence/ts153,0.000000,0.000000,0.000000,0.000000
7538.071777,BeginTask: Travel,/car 1,/Line 1 WIP Buffer Area 3,end speed: 0.000000,forcetravel: 0.000000,,
7541.039551,Trigger: OnArrival,/NN1,/car 1,toedge: 1.000000,fromedge: 0.000000,,
7541.039551,Trigger: OnContinue,/NN1,/car 1,toedge: 1.000000,fromedge: 0.000000,,
7559.539551,Trigger: OnArrival,/NN2,/car 1,toedge: 2.000000,fromedge: 1.000000,,
7559.539551,Trigger: OnContinue,/NN2,/car 1,toedge: 2.000000,fromedge: 1.000000,,
7568.039551,Trigger: OnArrival,/NN3,/car 1,toedge: 2.000000,fromedge: 1.000000,,
7568.039551,Trigger: OnContinue,/NN3,/car 1,toedge: 2.000000,fromedge: 1.000000,,
7568.693848,Engine: Send Object,/Material Supermarket _Loading Point_,/Material Supermarket _Loading Point_/Product,8.000000,,,
7568.693848,Trigger: OnExit,/Material Supermarket _Loading Point_,/Material Supermarket _Loading Point_/Product,port: 8.000000,,,
7568.693848,Engine: Receive Object,/car 2,/car 2/Product,1.000000,,,
7568.693848,Trigger: OnLoad,/car 2,/car 2/Product,station: /Material Supermarket _Loading Point_,,,
